keyword,frequency
china,94
us,64
trade,58
chinese,51
war,38
trump,32
beijing,25
would,22
tariffs,22
u,18
president,16
also,15
america,15
american,14
deal,14
global,14
last,13
new,12
pence,12
administration,12
people,11
see,11
economy,11
economic,11
state,10
one,10
foreign,10
political,10
world,10
year,9
billion,9
could,9
times,9
union,9
united,9
russia,9
going,8
agreement,8
canada,8
states,8
enemy,8
soviet,8
2018,7
goods,7
imports,7
link,7
week,7
stock,7
time,7
long,7
mexico,7
countries,7
even,7
zhong,7
two,7
elections,7
russian,7
cold,7
public,6
first,6
country,6
willing,6
far,6
wrote,6
market,6
including,6
japan,6
make,6
minister,6
mike,6
pompeo,6
per,6
cent,6
conflict,6
part,6
cosmopolitan,6
nationalist,6
putin,6
speech,6
might,5
become,5
common,5
monday,5
central,5
markets,5
many,5
relationship,5
recent,5
50,5
nafta,5
pressure,5
free,5
domestic,5
americans,5
talks,5
another,5
europe,5
companies,5
donald,5
change,5
contain,5
business,5
midterm,5
much,5
power,5
efforts,5
party-state,5
reihan,5
salam,5
conservatives,5
life,4
put,4
show,4
good,4
25,4
next,4
point,4
growth,4
worrying,4
come,4
user,4
asked,4
better,4
month,4
front,4
difficult,4
want,4
wants,4
policies,4
back,4
demands,4
know,4
yet,4
line,4
washington,4
whether,4
taken,4
advantage,4
secretary,4
wang,4
powers,4
tariff,4
technology,4
took,4
take,4
soon,4
european,4
talking,4
approach,4
strategy,4
summit,4
early,4
question,4
western,4
freedom,4
different,4
rising,4
act,4
huntington,4
threat,4
liberals,4
democracies,4
commitment,4
cannot,4
9,3
win,3
like,3
increasing,3
national,3
media,3
always,3
greater,3
state-run,3
10,3
doesn,3
go,3
tumble,3
oct,3
day,3
requirement,3
seen,3
weibo,3
officials,3
worried,3
need,3
great,3
oil,3
nuts,3
top,3
based,3
august,3
won,3
may,3
manufacturing,3
firms,3
fact,3
argument,3
terms,3
wars,3
end,3
september,3
instead,3
so-called,3
commerce,3
exports,3
stance,3
history,3
nation,3
tensions,3
exchange,3
yi,3
told,3
must,3
actions,3
fundamental,3
intellectual,3
property,3
rights,3
transfer,3
side,3
relations,3
accusations,3
attempting,3
warned,3
anytime,3
south,3
likely,3
finance,3
chiefs,3
high,3
international,3
chief,3
still,3
clear,3
address,3
concerns,3
campaign,3
potential,3
made,3
government,3
pain,3
place,3
consequences,3
vice,3
seeking,3
influence,3
outcome,3
elite,3
election,3
meddling,3
democratic,3
orienting,3
