Saturday| November 3| 2018,United States
INDEX, TITLE, SUMMARY, SEARCH, SOURCE, LINK
1,Tallahassee shooting,Two dead| several others injured in Tallahassee shooting,20K+,WCTV | 11h ago,https://www.wctv.tv/content/news/TPD-investigating-shooting-in-Tallahassee-499452171.html
1,Alec Baldwin,Alec Baldwin denies he 'punched anyone over a parking spot' after arrest ...,200K+,USA TODAY | 15h ago,https://www.usatoday.com/story/life/people/2018/11/02/alec-baldwin-arrested-new-york-after-parking-dispute/1859824002/
2,Overwatch,Overwatch gets a McCree animated short and new character called Ashe,200K+,The Verge | 14h ago,https://www.theverge.com/2018/11/2/18052248/blizzard-blizzcon-2018-overwatch-mccree-animated-short-ashe-reveal
3,Pete Davidson,Pete Davidson 'Unfazed' by Ariana Grande Diss: 'He'll Joke About His Life ...,200K+,PEOPLE.com | 12h ago,https://people.com/music/pete-davidson-unfazed-ariana-grande-diss-saturday-night-live-joke/
4,WWE Crown Jewel,WWE Crown Jewel results| recap| grades: Surprising new champion| World Cup ...,100K+,CBSSports.com | 18h ago,https://www.cbssports.com/wwe/news/wwe-crown-jewel-results-recap-grades-surprising-new-champion-world-cup-winner-crowned/
5,House of Cards,Review: House of Cards Collapses| Finally,100K+,Vanity Fair | 13h ago,https://www.vanityfair.com/hollywood/2018/11/house-of-cards-final-season-review
6,Destiny 2,How To Download 'Destiny 2' For Free Right Now,100K+,Forbes | 12h ago,https://www.forbes.com/sites/davidthier/2018/11/02/how-to-download-destiny-2-for-free-right-now-and-keep-it-forever/
7,Justin Timberlake,Who knows Justin Timberlake better| wife Jessica Biel or BFF Jimmy Fallon?,50K+,USA TODAY | 16h ago,https://www.usatoday.com/story/life/entertainthis/2018/11/02/jimmy-fallon-jessica-biel-test-their-justin-timberlake-knowledge/1858026002/
8,Tornado warning,Severe Storm Sparks Tornado Warnings for 9 Pa. and NJ Counties; Flash Flooding ...,50K+,NBC 10 Philadelphia | 7h ago,https://www.nbcphiladelphia.com/weather/Tornado-Warning-Issued-for-Parts-of-Berks-Chester-and-Montgomery-Counties-499471141.html
9,Cole Sprouse,'Friends' Alum Cole Sprouse on "Feeling So| So Intimidated" by His Crush on ...,50K+,Hollywood Reporter | 14h ago,https://www.hollywoodreporter.com/live-feed/cole-sprouse-jennifer-aniston-crush-teaching-riverdale-parents-1157654
10,Diablo Immortal,Diablo: Immortal feels like a Diablo game| just not one that's for me,50K+,Polygon | 6h ago,https://www.polygon.com/blizzcon/2018/11/2/18057932/diablo-immortal-demo-blizzcon-mobile-impressions
11,Timberwolves vs Warriors,Live updates: Warriors vs. Timberwolves| Friday at 7:30 pm,50K+,The Mercury News | 10h ago,https://www.mercurynews.com/2018/11/02/live-updates-warriors-vs-timberwolves-friday-at-730-p-m/
12,Carnival,Carnival cruise ship listed| frightening passengers,50K+,Miami Herald | 10h ago,https://www.miamiherald.com/news/business/tourism-cruises/article221046080.html
13,Post Malone Crocs,Crocs — one of teens' favorite footwear brands — partnered with Post Malone ...,50K+,Business Insider | 16h ago,https://www.businessinsider.com/crocs-post-malone-collaboration-sells-out-2018-11
14,Barbra Streisand,Barbra Streisand Talks Donald Trump With Bill Maher| Urges Media To Stop ...,50K+,Deadline | 4h ago,https://deadline.com/2018/11/tbarbra-streisand-donald-trump-bill-maher-press-stop-covering-rallies-video-1202495230/
15,Bryce Harper,Nationals make Bryce Harper qualifying offer before MLB deadline,50K+,Washington Post | 19h ago,https://www.washingtonpost.com/sports/2018/11/02/nationals-will-make-bryce-harper-qualifying-offer-before-todays-deadline/
16,Clayton Kershaw,Clayton Kershaw| Dodgers reach new contract to keep three-time Cy Young winner ...,50K+,CBSSports.com | 13h ago,https://www.cbssports.com/mlb/news/clayton-kershaw-dodgers-reach-new-contract-to-keep-three-time-cy-young-winner-in-los-angeles-through-2021/
17,James Charles,James Charles Launches His First-Ever Makeup Collection,50K+,Entertainment Tonight | 12h ago,https://www.etonline.com/james-charles-launches-his-first-ever-makeup-collection-112890
18,LSU vs Alabama,LSU vs. Alabama: Preview and Predictions,50K+,247Sports | 17h ago,https://247sports.com/college/lsu/LongFormArticle/LSU-Tigers-versus-Alabama-Crimson-Tide-Preview-and-Predictions-124121716/
19,Admonished,Magic Johnson 'Admonished' Coach Luke Walton| Putting His Future in Doubt,50K+,Complex | 14h ago,https://www.complex.com/sports/2018/11/magic-johnson-berates-luke-walton-lakers
20,All Saints' Day,Celebration of All Saints Day,50K+,Piqua Daily Call | 16h ago,https://www.dailycall.com/news/48590/celebration-of-all-saints-day
