rank,title,search,summary,source,link
1,Jimmy Butler,1M+,Jimmy Butler trade update: 76ers to acquire Wolves star in multiplayer deal ...,CBSSports.com | 13h ago,https://www.cbssports.com/nba/news/jimmy-butler-trade-update-76ers-to-acquire-wolves-star-in-multiplayer-deal-including-saric-and-covington-per-report/
2,Oklahoma football,100K+,"Oklahoma vs. Oklahoma State score: Live game updates, football highlights ...",CBSSports.com | 11h ago,https://www.cbssports.com/college-football/news/oklahoma-vs-oklahoma-state-score-live-game-updates-football-highlights-stats-full-coverage/
3,Teddy Geiger,100K+,Teddy Geiger and 'Schitt's Creek' star Emily Hampshire are engaged,USA TODAY | 12h ago,https://www.usatoday.com/story/life/people/2018/11/10/teddy-geiger-musician-and-schitts-creek-emily-hampshire-engaged/1957094002/
4,Ohio State vs Mi State,100K+,Ohio State vs. Michigan State score: No. 10 Buckeyes grind out victory over No ...,CBSSports.com | 14h ago,https://www.cbssports.com/college-football/news/ohio-state-vs-michigan-state-score-no-10-buckeyes-grind-out-victory-over-no-18-spartans/
5,Boston College football,50K+,"Clemson vs. Boston College: Prediction, pick, spread, odds, TV channel, live ...",CBSSports.com | 8h ago,https://www.cbssports.com/college-football/news/clemson-vs-boston-college-prediction-pick-spread-odds-tv-channel-live-stream-watch-online/
6,Lakers vs Kings,50K+,Kings vs. Lakers Preview: This One Matters,Sactown Royalty | 13h ago,https://www.sactownroyalty.com/2018/11/10/18082138/kings-vs-lakers-preview-this-one-matters
7,LeAnn Rimes,50K+,LeAnn Rimes's Relationship With Husband Eddie Cibrian Sounds Like a Hallmark Movie,countryliving.com | 18h ago,https://www.countryliving.com/life/entertainment/a24890352/leann-rimes-husband-eddie-cibrian-love-story/
8,Michigan vs Rutgers,50K+,"Rutgers vs. Michigan RECAP, SCORE & STATS | College Football Week 11",NJ.com | 11h ago,https://www.nj.com/rutgersfootball/index.ssf/2018/11/rutgers_vs_michigan_live_score_updates_stats_11101.html
9,Alabama vs Mississippi State,50K+,"Alabama vs. Mississippi State score, takeaways: No. 1 Tide notch second ...",CBSSports.com | 10h ago,https://www.cbssports.com/college-football/news/alabama-vs-mississippi-state-score-takeaways-no-1-tide-notch-second-straight-sec-west-shutout/
10,Pitt football,50K+,Pitt smashes Virginia Tech 52-22 to near ACC Coastal title,Washington Post | 5h ago,https://www.washingtonpost.com/sports/colleges/pitt-smashes-virginia-tech-52-22-to-near-acc-coastal-title/2018/11/10/7f3ca28a-e551-11e8-ba30-a7ded04d8fac_story.html
11,Nets vs Warriors,50K+,"Nets vs. Warriors: LeVert, Russell, Allen Send Brooklyn Flying Into California ...",Brooklynnets.com | 13h ago,https://www.nba.com/nets/news/preview/2018/11/10/nets-vs-warriors-levert-russell-allen-send-brooklyn-flying-into-california-off-big-win
