Date,rank,title,search,summary,source,link
22/11/2018,1,North Sentinel Island,500K+,"American missionary, adventurer killed by tribe members on restricted and ...",USA TODAY | 18h ago,https://www.usatoday.com/story/news/world/2018/11/21/american-believed-killed-isolated-tribe-north-sentinel-island-india/2076608002/
22/11/2018,2,LFO,200K+,LFO Singer Devin Lima Dies at 41,Variety | 11h ago,https://variety.com/2018/music/news/devin-lima-dead-dies-lfo-1203034421/
22/11/2018,3,Happy Thanksgiving,200K+,"'Happy Thanksgiving,' Netanyahu wishes Americans in video",The Times of Israel | 5h ago,https://www.timesofisrael.com/happy-thanksgiving-netanyahu-wishes-americans-in-video/
22/11/2018,4,Square One,100K+,Colts Neck fire: Keith Caneiro brother Paul was first hire for fledgling tech ...,Asbury Park Press | 11h ago,https://www.app.com/story/news/crime/jersey-mayhem/2018/11/21/colts-neck-fire-keith-caneiro-and-brother-had-booming-tech-business/2077238002/
22/11/2018,5,Joyner Lucas,100K+,Hip-Hop Reacts to Tory Lanez and Joyner Lucas' Diss Tracks,XXLMAG.COM | 11h ago,http://www.xxlmag.com/news/2018/11/hip-hop-reacts-tory-lanez-joyner-lucas-diss-tracks/
22/11/2018,6,How to cook a turkey,100K+,How to cook a turkey: Elementary students share cooking tips on cooking up a ...,Hickory Daily Record | 17h ago,https://www.hickoryrecord.com/news/how-to-cook-a-turkey-elementary-students-share-cooking-tips/article_c89b1e78-ecec-11e8-a245-b7dbbace015a.html
22/11/2018,7,Tulsi Gabbard,100K+,Rep. Tulsi Gabbard eviscerates Trump as 'Saudi Arabia's bitch',NBCNews.com | 8h ago,https://www.nbcnews.com/politics/congress/rep-tulsi-gabbard-eviscerates-trump-saudi-arabia-s-bitch-n939011
22/11/2018,8,adenovirus,100K+,University of Maryland freshman dies from adenovirus-related illness,CNN | 15h ago,https://www.cnn.com/2018/11/21/health/university-of-maryland-death-adenovirus/index.html
22/11/2018,9,Aaron Rodgers,100K+,Aaron Rodgers donating $1 million for California wildfire victims,ESPN | 10h ago,http://www.espn.com/nfl/story/_/id/25340525/green-bay-packers-aaron-rodgers-donate-1-million-victims-california-wildfires
22/11/2018,10,Sarah Michelle Gellar,50K+,Sarah Michelle Gellar apologizes for Thanksgiving lingerie post,CNN | 11h ago,https://www.cnn.com/2018/11/21/entertainment/sarah-michelle-gellar-post/index.html
22/11/2018,11,Macy's Thanksgiving Day Parade,50K+,Teen in wheelchair marches in Macy's Thanksgiving Day Parade with a little ...,NBCNews.com | 5h ago,https://www.nbcnews.com/nightly-news/teen-wheelchair-marches-macy-s-thanksgiving-day-parade-little-help-n938446
22/11/2018,12,Cheesecake Recipe,50K+,Pumpkin Crème Brûlée Cheesecake Bars,Delish.com | 9h ago,https://www.delish.com/cooking/recipe-ideas/a25132575/pumpkin-creme-brulee-cheesecake-bars-recipe/
