query,value
2016 election,100
election united states 2016,100
united states election 2016,98
election vote,89
vote,87
2016 vote,85
where do i vote,83
where do i vote in the 2016 united states election #everyonein2016,83
united states election results,41
election results,41
united states of america election,30
united states of america,30
united states of america election results,27
united states presidential election,20
presidential election,19
president,13
president of the united states,12
the president of the united states,12
united states presidential election 2016,11
presidential election 2016,10
2016 presidential election,10
united states election results 2016,9
2016 election results,9
united states presidential election results,7
presidential election results,7
