ids,locations,buildings,level,sizeFeet,BuyPricePerFeet,rentPricePerFeet,numberOfRooms,numberOfSuite,AgeOfBuilding,usage
3855f295-0412-4b1a-8249-7f0234b8caf1,西半山,蔚華閣  ,2,686,21865,44,"3 
",1,26,0.82
eb53c432-b378-4b2b-a760-211aa4771595,鯉景/嘉亨/逸濤/西灣河,逸濤灣 冬和軒 (4座)  ,1,741,26990,57,"3 
",1,18,
dd3a96a2-dbe0-4b16-939c-b4106b98a234,西半山,帝華臺  ,3,671,17585,42,"3 
",1,21,0.73
3a02362d-2a45-4825-b202-b1e6d84fcb6a,美孚/華景,美孚新邨 4期 百老匯街81-83號  ,2,869,12566,,"3 
",1,46,
e9e9e834-c928-4749-9f3c-5aa52c008b34,跑馬地/東半山,嘉崙臺  ,1,1653,41137,56,"3 
",1,18,0.73
d121830f-0fb4-4dfb-a72a-222402de0697,黃埔/海逸,海濱南岸 5座  ,2,589,17826,,,,17,0.76
6a9a622d-e8fb-46dd-8344-bffd08cdc37d,九龍塘/畢架山,喇沙利道18A號 珍珠  ,1,4512,36081,37,"5 
",3,19,
0ee88fd3-3555-4c1f-8d78-a7a6f916cd05,荃灣,萬景峰 5座  ,3,825,17575,39,"4 
",1,12,0.75
619c66a2-a04a-4d9b-bf08-49b8dba43c60,跑馬地/東半山,禮頓山 9座  ,3,924,39826,,"2 
",1,17,0.77
c84e906a-1aff-4852-a687-77ba74a842fe,火炭/沙田半山/九肚山,田禾苑,,3034,49439,,,,30,0.87
cfcd889f-2ea1-4b2a-80ef-b96f9b54dbb3,美孚/華景,美孚新邨 1期 百老匯街23號  ,1,460,15434,,"2 
",,50,0.74
4a3b1b2f-5516-4c71-9dd3-4b61ff6e4688,藍田/油塘,麗港城 4期 22座  ,3,687,14264,,"3 
",1,25,0.8
3d2092a1-345c-432d-a47e-35d8f894512e,屯門,瓏門 1期 5座  ,3,646,16253,34,"3 
",1,7,0.77
198611fd-4100-42f8-bcec-a0f3f453b963,九龍塘/畢架山,雅華閣  ,3,976,15368,37,"3 
",1,46,0.92
e16ca753-c752-4bc8-8a61-400794763fbc,跑馬地/東半山,嘉雲臺 4座  ,2,1439,36136,,"3 
",1,33,0.79
ab969e67-2aea-4765-98b3-8d4a18b8daed,將軍澳,廣明苑 廣新閣 (G座)  ,3,601,8818,,,,21,
76480766-7362-4b50-b11e-4a7bc8b920ed,鯉景/嘉亨/逸濤/西灣河,鯉景灣 B段 逸華閣 (8座)  ,3,574,17160,,"2 
",,31,0.86
6e023128-9ecc-449c-ae8d-4225b7d51588,長沙灣/深水埗,喜雅 1座  ,1,461,18438,,"2 
",,6,0.81
502fc8da-2209-4167-9835-5ec42fb9207f,將軍澳,天晉 Iiia 3A座  ,1,673,19316,,"3 
",1,3,
535ca5f2-2db7-432c-bb33-634b8fc7bbd0,大埔半山/康樂園,嵐山 2期 2座  ,1,928,13469,,"3 
",1,4,
cec03406-0bf8-4d7f-afa1-921864914434,西半山,帝豪閣 C座  ,2,1222,25777,,"3 
",1,23,0.78
e383bf25-6881-45a9-b394-41f1686cf71b,東涌,東環 2期 2A座  ,2,640,13437,,,,3,
