Year,legend,Germany,Saint Vincent and the Grenadines,Jamaica,Barbados,Bahamas,Canada,Costa Rica,United States,Australia,Malta,Saint Kitts and Nevis,Micronesia,Czech Republic,United Kingdom,Lithuania
2001,ALegal,2,2,3,1,3,1,7,3,0,0,4,2,10,4,4
2001,BPolitical,8,7,8,4,2,6,4,6,3,5,6,2,6,7,7
2001,CEconomic,5,7,6,11,3,9,6,7,7,8,8,16,9,7,8
2001,Total Score,15,16,17,16,8,16,17,16,10,13,18,20,25,18,19
2001,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2002,ALegal,2,2,3,1,3,2,4,5,3,2,4,2,9,6,7
2002,BPolitical,6,8,11,4,3,7,5,6,5,4,7,3,5,5,5
2002,CEconomic,7,7,6,9,5,8,5,6,6,7,7,12,9,7,6
2002,Total Score,15,17,20,14,11,17,14,17,14,13,18,17,23,18,18
2002,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2003,ALegal,5,1,4,4,4,2,7,3,3,2,2,1,6,4,5
2003,BPolitical,6,5,7,6,5,7,7,6,4,5,9,7,10,8,7
2003,CEconomic,5,8,6,7,5,6,5,4,7,8,10,11,7,7,6
2003,Total Score,16,14,17,17,14,15,19,13,14,15,21,19,23,19,18
2003,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2004,ALegal,5,2,4,3,2,3,5,5,4,2,6,1,6,5,5
2004,BPolitical,6,5,5,6,6,8,7,7,7,7,8,7,9,7,7
2004,CEconomic,5,9,6,8,6,6,7,5,7,9,9,10,7,6,6
2004,Total Score,16,16,15,17,14,17,19,17,18,18,23,18,22,18,18
2004,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2005,ALegal,5,3,3,3,2,4,5,6,5,2,4,1,5,5,5
2005,BPolitical,6,6,7,8,8,8,6,6,8,7,9,8,8,7,7
2005,CEconomic,5,7,7,6,6,6,7,4,6,9,8,11,7,7,6
2005,Total Score,16,16,17,17,16,18,18,16,19,18,21,20,20,19,18
2005,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2006,ALegal,6,4,3,3,2,3,7,6,6,2,4,1,4,5,5
2006,BPolitical,6,7,6,8,9,8,7,6,9,6,8,8,7,8,7
2006,CEconomic,4,6,6,6,6,6,6,4,6,9,8,11,7,6,6
2006,Total Score,16,17,15,17,17,17,20,16,21,17,20,20,18,19,18
2006,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2007,ALegal,6,4,3,3,3,4,6,5,6,3,4,2,4,6,5
2007,BPolitical,6,7,6,10,10,8,7,8,8,8,8,8,7,7,7
2007,CEconomic,4,6,6,6,7,6,6,4,7,9,7,11,7,5,6
2007,Total Score,16,17,15,19,20,18,19,17,21,20,19,21,18,18,18
2007,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2008,ALegal,6,4,3,3,3,5,6,5,6,4,4,2,4,6,5
2008,BPolitical,6,7,6,10,10,8,7,8,9,9,8,8,7,8,7
2008,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,7,5,6
2008,Total Score,16,17,15,19,20,19,19,18,22,22,19,21,18,19,18
2008,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2009,ALegal,6,4,3,3,3,5,6,5,6,4,4,2,4,6,5
2009,BPolitical,7,7,7,10,10,8,7,8,9,9,9,8,7,8,9
2009,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,7,5,7
2009,Total Score,17,17,16,19,20,19,19,18,22,22,20,21,18,19,21
2009,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2010,ALegal,6,4,3,3,3,5,5,4,5,4,4,2,4,6,5
2010,BPolitical,7,7,9,10,10,8,7,8,9,9,9,8,8,8,9
2010,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,7,5,8
2010,Total Score,17,17,18,19,20,19,18,17,21,22,20,21,19,19,22
2010,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2011,ALegal,6,4,3,3,3,5,5,3,4,4,4,2,4,7,5
2011,BPolitical,7,7,9,10,10,8,8,10,10,9,9,8,8,9,9
2011,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,7,5,9
2011,Total Score,17,17,18,19,20,19,19,18,21,22,20,21,19,21,23
2011,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2012,ALegal,6,4,4,3,3,5,5,3,4,4,4,2,4,7,6
2012,BPolitical,7,7,8,9,9,9,7,10,10,9,9,8,8,9,8
2012,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,7,5,10
2012,Total Score,17,17,18,18,19,20,18,18,21,22,20,21,19,21,24
2012,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2013,ALegal,6,4,3,3,4,5,5,6,5,5,4,2,4,8,6
2013,BPolitical,7,7,8,9,9,8,7,10,10,9,9,8,8,10,8
2013,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,8,5,10
2013,Total Score,17,17,17,18,20,19,18,21,22,23,20,21,20,23,24
2013,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2014,ALegal,6,4,3,3,5,5,4,6,5,5,4,2,4,9,7
2014,BPolitical,8,7,8,9,9,7,7,11,10,9,9,8,8,9,8
2014,CEconomic,4,6,6,6,7,6,6,5,7,9,7,11,9,6,10
2014,Total Score,18,17,17,18,21,18,17,22,22,23,20,21,21,24,25
2014,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2015,ALegal,6,4,3,3,5,5,4,6,6,5,4,2,4,9,6
2015,BPolitical,10,7,8,9,10,7,7,10,10,9,9,8,8,9,7
2015,CEconomic,4,6,7,6,7,6,6,5,7,9,7,11,9,7,10
2015,Total Score,20,17,18,18,22,18,17,21,23,23,20,21,21,25,23
2015,Status,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2016,ALegal,6,5,3,3,5,5,4,6,6,5,4,2,4,9,6
2016,BPolitical,10,9,9,10,11,7,6,12,9,9,10,8,8,9,6
